"filename", "language", "JSON", "Batch", "JavaScript", "Markdown", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "PostCSS", "HTML", "comment", "blank", "total"
"e:\web_project2\my-yds\.eslintrc.js", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\web_project2\my-yds\README.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 14, 37
"e:\web_project2\my-yds\REFACTORING_COMPLETED.md", "Markdown", 0, 0, 0, 252, 0, 0, 0, 0, 0, 0, 0, 85, 337
"e:\web_project2\my-yds\REFACTORING_PLAN.md", "Markdown", 0, 0, 0, 1332, 0, 0, 0, 0, 0, 0, 0, 251, 1583
"e:\web_project2\my-yds\eslint.config.mjs", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\web_project2\my-yds\firebase.json", "JSON", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41
"e:\web_project2\my-yds\install-deps.bat", "Batch", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"e:\web_project2\my-yds\install-firebase-deps.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"e:\web_project2\my-yds\next-sitemap.config.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"e:\web_project2\my-yds\next.config.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 8, 2, 21
"e:\web_project2\my-yds\package-lock.json", "JSON", 8136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8137
"e:\web_project2\my-yds\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"e:\web_project2\my-yds\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"e:\web_project2\my-yds\public\file.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\globe.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\google68f644f5bf44f2a6.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\web_project2\my-yds\public\next.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\site.webmanifest", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"e:\web_project2\my-yds\public\sitemap1.xml", "XML", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 87
"e:\web_project2\my-yds\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\window.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 1, 9, 100
"e:\web_project2\my-yds\src\app\abstract\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 3, 12
"e:\web_project2\my-yds\src\app\academic-terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 3, 13
"e:\web_project2\my-yds\src\app\all-words\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 3, 13
"e:\web_project2\my-yds\src\app\business\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 5, 3, 13
"e:\web_project2\my-yds\src\app\category\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 2, 2, 13
"e:\web_project2\my-yds\src\app\conjunctions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 3, 12
"e:\web_project2\my-yds\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 116, 0, 0, 1, 12, 129
"e:\web_project2\my-yds\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 255, 0, 33, 56, 344
"e:\web_project2\my-yds\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 246, 0, 0, 15, 10, 271
"e:\web_project2\my-yds\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 2, 6, 49
"e:\web_project2\my-yds\src\app\nature\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 3, 12
"e:\web_project2\my-yds\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 3, 17
"e:\web_project2\my-yds\src\app\official\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 3, 12
"e:\web_project2\my-yds\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 104, 0, 0, 13, 15, 132
"e:\web_project2\my-yds\src\app\phrasal2\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 3, 12
"e:\web_project2\my-yds\src\app\phrasal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 4, 3, 12
"e:\web_project2\my-yds\src\app\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 213, 0, 0, 1, 15, 229
"e:\web_project2\my-yds\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 153, 0, 0, 5, 15, 173
