"filename", "language", "JSON", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "Firebase Rules", "JavaScript", "log", "comment", "blank", "total"
"e:\web_project2\my-yds\.claude\settings.local.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\web_project2\my-yds\FIREBASE_DEPLOYMENT.md", "Markdown", 0, 0, 157, 0, 0, 0, 0, 0, 0, 54, 211
"e:\web_project2\my-yds\FIREBASE_FIX_GUIDE.md", "Markdown", 0, 0, 213, 0, 0, 0, 0, 0, 0, 90, 303
"e:\web_project2\my-yds\README.md", "Markdown", 0, 0, 12, 0, 0, 0, 0, 0, 0, 6, 18
"e:\web_project2\my-yds\firebase-debug.log", "log", 0, 0, 0, 0, 0, 0, 0, -36, 0, -1, -37
"e:\web_project2\my-yds\firebase.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\web_project2\my-yds\firestore.rules", "Firebase Rules", 0, 0, 0, 0, 0, 53, 0, 0, 11, 16, 80
"e:\web_project2\my-yds\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 2, 0, 0, 0, 0, 0, -1, 1
"e:\web_project2\my-yds\src\app\abstract\page.tsx", "TypeScript JSX", 0, 0, 0, -6, 0, 0, 0, 0, -1, 1, -6
"e:\web_project2\my-yds\src\app\academic-terms\page.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\web_project2\my-yds\src\app\all-words\page.tsx", "TypeScript JSX", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 43
"e:\web_project2\my-yds\src\app\business\page.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\web_project2\my-yds\src\app\category\page.tsx", "TypeScript JSX", 0, 0, 0, 42, 0, 0, 0, 0, -2, 2, 42
"e:\web_project2\my-yds\src\app\conjunctions\page.tsx", "TypeScript JSX", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, -1
"e:\web_project2\my-yds\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 31, 0, 0, 0, 0, 0, -1, 30
"e:\web_project2\my-yds\src\app\design-system\page.tsx", "TypeScript JSX", 0, 0, 0, 589, 0, 0, 0, 0, 37, 38, 664
"e:\web_project2\my-yds\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"e:\web_project2\my-yds\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 3
"e:\web_project2\my-yds\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0
