"filename", "language", "JSON", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "XML", "TypeScript JSX", "HTML", "PostCSS", "Batch", "Firebase Rules", "comment", "blank", "total"
"e:\web_project2\my-yds\.claude\settings.local.json", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"e:\web_project2\my-yds\.eslintrc.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"e:\web_project2\my-yds\FIREBASE_DEPLOYMENT.md", "Markdown", 0, 0, 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 54, 211
"e:\web_project2\my-yds\FIREBASE_FIX_GUIDE.md", "Markdown", 0, 0, 0, 0, 213, 0, 0, 0, 0, 0, 0, 0, 90, 303
"e:\web_project2\my-yds\README.md", "Markdown", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 20, 55
"e:\web_project2\my-yds\eslint.config.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 17
"e:\web_project2\my-yds\firebase.json", "JSON", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44
"e:\web_project2\my-yds\firestore.rules", "Firebase Rules", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 11, 16, 80
"e:\web_project2\my-yds\install-deps.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"e:\web_project2\my-yds\install-firebase-deps.md", "Markdown", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 6, 16
"e:\web_project2\my-yds\next-sitemap.config.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 9
"e:\web_project2\my-yds\next.config.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 21
"e:\web_project2\my-yds\package-lock.json", "JSON", 8531, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8532
"e:\web_project2\my-yds\package.json", "JSON", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"e:\web_project2\my-yds\postcss.config.mjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 9
"e:\web_project2\my-yds\public\file.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\globe.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\google68f644f5bf44f2a6.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\next.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\site.webmanifest", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"e:\web_project2\my-yds\public\sitemap1.xml", "XML", 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 0, 0, 87
"e:\web_project2\my-yds\public\vercel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\public\window.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"e:\web_project2\my-yds\src\app\about\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 1, 8, 101
"e:\web_project2\my-yds\src\app\abstract\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 10, 17, 183
"e:\web_project2\my-yds\src\app\academic-terms\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 10, 16, 181
"e:\web_project2\my-yds\src\app\all-words\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 0, 15, 20, 234
"e:\web_project2\my-yds\src\app\business\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 10, 16, 182
"e:\web_project2\my-yds\src\app\category\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 4, 55
"e:\web_project2\my-yds\src\app\conjunctions\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 10, 16, 182
"e:\web_project2\my-yds\src\app\contact\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 0, 1, 11, 159
"e:\web_project2\my-yds\src\app\design-system\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 589, 0, 0, 0, 0, 37, 38, 664
"e:\web_project2\my-yds\src\app\globals.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 261, 0, 0, 33, 56, 350
"e:\web_project2\my-yds\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 249, 0, 0, 0, 0, 15, 10, 274
"e:\web_project2\my-yds\src\app\login\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 2, 5, 49
"e:\web_project2\my-yds\src\app\nature\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 10, 16, 181
"e:\web_project2\my-yds\src\app\not-found.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 2, 45
"e:\web_project2\my-yds\src\app\official\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 10, 16, 182
"e:\web_project2\my-yds\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 14, 15, 137
"e:\web_project2\my-yds\src\app\phrasal2\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 154, 0, 0, 0, 0, 10, 16, 180
"e:\web_project2\my-yds\src\app\phrasal\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 10, 16, 182
"e:\web_project2\my-yds\src\app\privacy\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 1, 15, 231
"e:\web_project2\my-yds\src\app\profile\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 5, 15, 176
"e:\web_project2\my-yds\src\app\protected-page\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 2, 3, 38
"e:\web_project2\my-yds\src\app\register\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 2, 5, 43
"e:\web_project2\my-yds\src\app\sitemap.ts", "TypeScript", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 5, 5, 33
"e:\web_project2\my-yds\src\app\social-sciences\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 156, 0, 0, 0, 0, 10, 16, 182
"e:\web_project2\my-yds\src\app\spaced-repetition\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 327, 0, 0, 0, 0, 13, 30, 370
"e:\web_project2\my-yds\src\app\upload-flashcards\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
"e:\web_project2\my-yds\src\app\upload-flashcards\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 413, 0, 0, 0, 0, 10, 42, 465
"e:\web_project2\my-yds\src\components\AdBanner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 1, 4, 34
"e:\web_project2\my-yds\src\components\AdSenseScriptWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 3, 7, 39
"e:\web_project2\my-yds\src\components\AdUnit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 12, 12, 92
"e:\web_project2\my-yds\src\components\ClientLayout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 5, 8, 54
"e:\web_project2\my-yds\src\components\ClientOnlyAd.js", "JavaScript", 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 67
"e:\web_project2\my-yds\src\components\FirebaseStatus.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 2, 5, 34
"e:\web_project2\my-yds\src\components\FlashCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 36, 45, 377
"e:\web_project2\my-yds\src\components\Navbar.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"e:\web_project2\my-yds\src\components\NavigationBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 519, 0, 0, 0, 0, 19, 27, 565
"e:\web_project2\my-yds\src\components\Quiz.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 220, 0, 0, 0, 0, 7, 21, 248
"e:\web_project2\my-yds\src\components\SpacedRepetitionQuiz.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 578, 0, 0, 0, 0, 31, 65, 674
"e:\web_project2\my-yds\src\components\ThemeSelector.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 1, 4, 44
"e:\web_project2\my-yds\src\components\WordCard.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 45
"e:\web_project2\my-yds\src\components\WordList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 345, 0, 0, 0, 0, 29, 39, 413
"e:\web_project2\my-yds\src\components\auth\LoginForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 0, 2, 14, 130
"e:\web_project2\my-yds\src\components\auth\ProfileInfo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 0, 1, 8, 72
"e:\web_project2\my-yds\src\components\auth\RegisterForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 5, 15, 142
"e:\web_project2\my-yds\src\components\design-system\Button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 111, 0, 0, 0, 0, 0, 9, 120
"e:\web_project2\my-yds\src\components\design-system\Card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 8, 78
"e:\web_project2\my-yds\src\components\design-system\Container.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 5, 45
"e:\web_project2\my-yds\src\components\design-system\Input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 9, 82
"e:\web_project2\my-yds\src\components\design-system\Typography.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 0, 11, 95
"e:\web_project2\my-yds\src\components\flashcards\ExcelUploader.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 2, 14, 155
"e:\web_project2\my-yds\src\components\flashcards\FlashcardCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 166, 0, 0, 0, 0, 2, 10, 178
"e:\web_project2\my-yds\src\components\flashcards\FlashcardControl.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 3, 12, 161
"e:\web_project2\my-yds\src\components\flashcards\FlashcardDeck.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 9, 26, 294
"e:\web_project2\my-yds\src\components\flashcards\FlashcardMobileView.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 6, 27, 330
"e:\web_project2\my-yds\src\components\flashcards\FullscreenWrapper.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 0, 9, 16, 144
"e:\web_project2\my-yds\src\components\flashcards\QuizMode.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 259, 0, 0, 0, 0, 29, 42, 330
"e:\web_project2\my-yds\src\components\home\CategoryGrid.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"e:\web_project2\my-yds\src\components\home\ExcelUploadSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 2, 4, 91
"e:\web_project2\my-yds\src\components\home\FaqSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"e:\web_project2\my-yds\src\components\home\FeatureSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 6, 78
"e:\web_project2\my-yds\src\components\home\ProgressOverview.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 137, 0, 0, 0, 0, 0, 16, 153
"e:\web_project2\my-yds\src\contexts\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 8, 47
"e:\web_project2\my-yds\src\contexts\FlashcardFullscreenContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 7, 29
"e:\web_project2\my-yds\src\contexts\ThemeContext.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 8, 14, 82
"e:\web_project2\my-yds\src\contexts\UserProgressContext.js", "JavaScript", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 100
"e:\web_project2\my-yds\src\data\categories.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 214, 0, 0, 0, 0, 1, 3, 218
"e:\web_project2\my-yds\src\data\faq.ts", "TypeScript", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 1, 2, 13
"e:\web_project2\my-yds\src\data\features.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 1, 3, 21
"e:\web_project2\my-yds\src\data\flashcards\all-words.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"e:\web_project2\my-yds\src\data\flashcards\index.js", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 5
"e:\web_project2\my-yds\src\data\flashcards\sample.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\web_project2\my-yds\src\data\homeData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 0, 0, 0, 0, 4, 176
"e:\web_project2\my-yds\src\data\quizData.ts", "TypeScript", 0, 0, 0, 2169, 0, 0, 0, 0, 0, 0, 0, 2, 50, 2221
